date,wheel,pos,rec_num,id,name,fe,carbonate,total
2021-04-23,USAMS042421,41,21308,1,druffel coral,3.28,0.7,
2021-04-23,USAMS042421,42,21308,2,druffel coral,4.14,0.65,
2021-04-23,USAMS042421,43,21308,3,druffel coral,3.3,0.74,
2021-04-23,USAMS042421,44,21308,4,druffel coral,4.23,0.94,
2021-04-23,USAMS042421,45,38809,5,NOSAMS2,3.52,0.26,
2021-04-23,USAMS042421,47,38809,6,NOSAMS2,3.56,0.74,
2021-04-23,USAMS042421,48,38809,7,NOSAMS2,4.12,1.01,
2021-04-23,USAMS042421,49,38809,8,NOSAMS2,4.52,0.62,
2021-04-23,USAMS042421,50,83028,9,C-1,3.96,0.3,
2021-04-23,USAMS042421,51,83028,10,C-1,3.3,0.99,
2021-04-23,USAMS042421,52,83028,11,C-1,4.26,0.46,
2021-04-23,USAMS042421,54,83028,12,C-1,4.16,0.69,
2021-04-23,USAMS042421,55,170096,13,TAMU001,3.39,0.48,
2021-04-23,USAMS042421,56,170097,14,TAMU002,3.56,0.4,
2021-04-23,USAMS042421,57,170106,15,TAMU011,4.82,0.78,
2021-04-23,USAMS042421,58,170116,16,TAMU021,3.72,0.6,
2021-11-21,USAMS112321,2,21308,1,druffel coral,5.27,0.8,6.07
2021-11-21,USAMS112321,3,21308,2,druffel coral,5.16,0.75,5.91
2021-11-21,USAMS112321,4,83028,3,C-1,5.34,0.77,6.11
2021-11-21,USAMS112321,5,83028,4,C-1,5.23,0.43,5.66
2021-11-21,USAMS112321,7,17185,5,TIRI-I,4.48,0.47,4.95
2021-11-21,USAMS112321,8,17185,6,TIRI-I,5.31,0.56,5.87
2021-11-21,USAMS112321,9,1082,7,C-2,5.73,0.76,6.49
2021-11-21,USAMS112321,10,1082,8,C-2,6.22,0.5,6.72
2021-11-26,USAMS112621,2,171987,1,,2.82,0.5,3.32
2021-11-26,USAMS112621,3,171989,2,,2.94,0.32,3.26
2021-11-26,USAMS112621,4,171991,3,,3.64,0.35,3.99
2021-11-26,USAMS112621,5,171993,4,,2.05,0.46,2.51
2021-11-26,USAMS112621,6,171995,5,,2.55,0.54,3.09
2021-11-26,USAMS112621,7,171997,6,,2.25,0.44,2.69
2021-11-26,USAMS112621,8,171999,7,,2.98,0.34,3.32
2021-11-26,USAMS112621,9,172001,8,,2.65,0.26,2.91
2021-11-26,USAMS112621,10,171988,9,,2.5,0.32,2.82
2021-11-26,USAMS112621,11,171990,10,,2.63,0.33,2.96
2021-11-26,USAMS112621,13,171992,11,,2.46,0.48,2.94
2021-11-26,USAMS112621,14,171994,12,,2.16,0.4,2.56
2021-11-26,USAMS112621,15,171996,13,,2.54,0.32,2.86
2021-11-26,USAMS112621,16,171998,14,,3.11,0.59,3.7
2021-11-26,USAMS112621,17,172000,15,,2.44,0.44,2.88
2021-11-26,USAMS112621,18,21308,16,,3.22,0.52,3.74
2021-11-26,USAMS112621,19,21308,17,,2.04,0.5,2.54
2021-11-26,USAMS112621,20,83028,18,,2.38,0.44,2.82
2021-11-26,USAMS112621,21,83028,19,,2.15,0.29,2.44